epoch,training_loss,training_accuracy,val_loss,val_accuracy,training_time,validation_time
1,0.15673467792901727,0.34817777777777775,0.16554943491313606,0.2842,1:33:39,0:02:53
2,0.1335778482667274,0.453,0.17408182981940917,0.274,1:33:24,0:02:53
